index	question	sentence	label
81344	Where does the Rhine originate?	The Rhine originates in a 30 square kilometre area in Switzerland and represents almost 60 percent of water exported from the country.	entailment
99677	What is the children's agency of the United Nations Organization?	The United Nations Organization and its children's agency UNICEF withdrew their staff, saying that it wasn't sure the event would help its mission of raising awareness of conditions for children and amid concerns that the relay would be used as a propaganda stunt.	entailment
24424	In what year did Paul VI die?	This became the last of Paul VI's consistories before his death in August 1978.	entailment
72881	Who was the FA secretary in 1871?	On 20 July 1871, in the offices of The Sportsman newspaper, the FA Secretary C. W. Alcock proposed to the FA committee that "it is desirable that a Challenge Cup should be established in connection with the Association for which all clubs belonging to the Association should be invited to compete".	entailment
40329	How far is to the neighboring capitol of San Jose de Mayo?	The approximate distances to the neighbouring department capitals by road are, 90 kilometres (56 mi) to San Jose de Mayo (San Jose Department) and 46 kilometres (29 mi) to Canelones (Canelones Department).	entailment
5621	When did the poultry business boom in the United States ?	By the mid-20th century, the poultry meat-producing industry was of greater importance than the egg-laying industry.	entailment
36745	As of 2004, how many Nobel Prize winners had roots in New York institutions?	New York City has the most post-graduate life sciences degrees awarded annually in the United States, with 127 Nobel laureates having roots in local institutions as of 2004; while in 2012, 43,523 licensed physicians were practicing in New York City.	entailment
29537	In what year did Lee stop giving interviews about the book?	Starting in 1964, Lee began to turn down interviews, complaining that the questions were monotonous, and grew concerned that attention she received bordered on the kind of publicity celebrities sought.	entailment
12464	What principle did John's predecessors use?	There was as yet no model for what should happen if a king refused to do so.	not_entailment
21651	What two formats replaced the 78?	RCA Victor developed the 45 rpm format and marketed it in March 1949, each pursuing their own r&d in secret.	not_entailment
14376	What is mainly responsible for the connection of the antenna to its end destinations?	In a so-called aperture antenna, such as a horn or parabolic dish, the "feed" may also refer to a basic antenna inside the entire system (normally at the focus of the parabolic dish or at the throat of a horn) which could be considered the one active element in that antenna system.	not_entailment
20496	Who suggested research into the possibility of a Greek nuclear power plant should begin?	In line with the European Commission's Directive on Renewable Energy, Greece aims to get 18% of its energy from renewable sources by 2020.	not_entailment
48671	At which point in a game is the time the offence takes to put the ball in play measured?	Instead of the penalty being 5 yards with the down repeated, the base penalty (except during convert attempts) becomes loss of down on first or second down, and 10 yards on third down with the down repeated.	not_entailment
103632	Who did William IV feel was a suitable husband for Victoria?	Leopold arranged for Victoria's mother to invite her Coburg relatives to visit her in May 1836, with the purpose of introducing Victoria to Albert.	not_entailment
30044	What type of food is Armenian food most similair to?	Armenian cuisine is as ancient as the history of Armenia, a combination of different tastes and aromas.	not_entailment
11711	What is the largest nationwide broadcaster in San Diego?	Star 94.1, FM 94/9, FM News and Talk 95.7, Q96 96.1, KyXy 96.5, Free Radio San Diego (AKA Pirate Radio San Diego) 96.9FM FRSD, KSON 97.3/92.1, KXSN 98.1, Jack-FM 100.7, 101.5 KGB-FM, KLVJ 102.1, Rock 105.3, and another Pirate Radio station at 106.9FM, as well as a number of local Spanish-language radio stations.	not_entailment
