Quality	#1 ID	#2 ID	#1 String	#2 String
0	707136	707112	In court papers filed Tuesday , Lee asked for an injunction against Viacom 's use of the name , saying he had never given his consent for it to be used .	In papers filed Tuesday in Manhattan 's state Supreme Court , Lee asked for an injunction against Viacom 's use of the name Spike for TNN .
0	2110325	2110199	Lt. Scotty Smither , a county firefighter , was struck by lightning .	A county firefighter , was struck by lightning and was in stable condition at Frankfort Regional Medical Center .
0	91456	91526	" These are defining moments for players and organizations , " Anaheim coach Mike Babcock said .	" There are defining moments for players and organizations where you are measured .
0	3416795	3416666	He also wrote the state was right to execute a search warrant at the store .	He said he had told the state police to execute a search warrant but stop if they encountered resistance .
0	3114205	3114194	That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .	Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .
0	2414757	2414471	For the first time starting Thursday , all four pages of the Constitution will be on view instead of just the first and last pages .	And for the first time , all four pages of the Constitution will be on permanent display .
0	2806879	2806935	It doesnt appear the children struggled , Prowers County Coroner Joe Giadone said Saturday .	The cause of death is drowning , and the manner of death is homicide , Prowers County Coroner Joe Giadone said .
0	3044868	3044958	" It ends tonight , " a grim Keanu Reeves announces , in the trailer for The Matrix Revolutions .	Keanu Reeves and Hugo Weaving in a scene from the motion picture The Matrix Revolutions .
1	2332633	2332760	Before the blast , Wells told police he had been forced to rob the bank and asked police to help him remove the bomb .	Wells , 46 , said he was forced to rob the bank and asked police to help take the bomb off .
1	2264210	2264194	However , the standards body warns that changes to Internet Explorer may affect a " large number " of existing Web sites .	Still , changes to IE " may affect a large number of existing Web pages , " according to the W3C 's notice .
1	2244016	2243958	" Any decision on Charleroi will have huge implications for regional airports in France , " he said .	" A bad decision on Charleroi would have huge implications for state-owned regional airports in France .
1	1601705	1601584	A suburban Chicago man was arrested Wednesday on charges of secretly gathering information on Iraqi opposition figures as an unregistered agent of Saddam Hussein 's intelligence service .	The FBI arrested a suburban Chicago man Wednesday and charged him with secretly collecting information on individuals in the United States who opposed Saddam Hussein 's Iraqi government .
1	882005	881903	The girl turned up two days later at a convenience store several cities away , shaken but safe , and helped lead police to her alleged abductor .	The arrest came hours after the girl turned up at a convenience store several cities away and helped lead police to her alleged abductor .
1	702543	702500	" Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands , " Mr. Heyer said .	In a statement , Heyer said , " Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands .
1	786550	786525	" The benefit is equal for everyone , both in traditional Medicare and in the enhanced Medicare we 're setting up . "	" The ( drug ) benefit is equal for everyone , both in traditional Medicare and in the enhanced Medicare we 're setting up , " Grassley said .
1	1602801	1602232	The couple was granted an annulment in September 2001 and Joanie Harper was given sole custody of Marques and Lyndsey , court records show .	Joanie Harper and Brothers were granted an annulment in September 2001 , and Harper was given sole custody of Marques and Lyndsey , court records show .
