sentence	label
the script is smart and dark - hallelujah for small favors .	1
city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .	1
some body is a shaky , uncertain film that nevertheless touches a few raw nerves .	1
as a kind of colorful , dramatized pbs program , frida gets the job done .	1
just like a splendid meal , red dragon satisfies -- from its ripe recipe , inspiring ingredients , certified cuisine and palatable presentation .	1
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .	1
a pleasing , often-funny comedy .	1
the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .	1
some fine acting , but ultimately a movie with no reason for being .	0
a straight-ahead thriller that never rises above superficiality .	0
the film is grossly contradictory in conveying its social message , if indeed there is one .	0
the feature-length stretch ... strains the show 's concept .	0
a complete waste of time .	0
no one involved , save dash , shows the slightest aptitude for acting , and the script , credited to director abdul malik abbott and ernest ` tron ' anderson , seems entirely improvised .	0
... really horrible drek .	0
suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .	0
