index	captionID	pairID	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
104087	1240297429.jpg#0	1240297429.jpg#0r4n	( ( A dog ) ( ( is ( ( ( ( wearing ( a ( red number ) ) ) 6 ) and ) ( running ( through ( ( a field ) ( of ( ( green ( grass while ) ) ( being ( chased ( by ( a bird ) ) ) ) ) ) ) ) ) ) ) . ) )	( ( The dog ) ( ( enjoys ( the exercise ) ) . ) )	(ROOT (S (NP (DT A) (NN dog)) (VP (VBZ is) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN number)) (NP (CD 6))) (CC and) (VP (VBG running) (PP (IN through) (NP (NP (DT a) (NN field)) (PP (IN of) (NP (NP (JJ green) (NN grass) (NN while)) (VP (VBG being) (VP (VBN chased) (PP (IN by) (NP (DT a) (NN bird)))))))))))) (. .)))	(ROOT (S (NP (DT The) (NN dog)) (VP (VBZ enjoys) (NP (DT the) (NN exercise))) (. .)))	A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird.	The dog enjoys the exercise.	neutral	neutral
160206	2605495015.jpg#0	2605495015.jpg#0r1n	( ( ( ( A ( little boy ) ) ( in ( ( ( a ( tan shirt ) ) and ) shorts ) ) ) ( walking ( in ( ( an area ) ( with ( many ( gray ( mesh ( ( tables and ) chairs ) ) ) ) ) ) ) ) ) . )	( ( The boy ) ( ( is ( a student ) ) . ) )	(ROOT (NP (NP (NP (DT A) (JJ little) (NN boy)) (PP (IN in) (NP (NP (DT a) (JJ tan) (NN shirt)) (CC and) (NP (NNS shorts))))) (VP (VBG walking) (PP (IN in) (NP (NP (DT an) (NN area)) (PP (IN with) (NP (JJ many) (JJ gray) (NN mesh) (NNS tables) (CC and) (NNS chairs)))))) (. .)))	(ROOT (S (NP (DT The) (NN boy)) (VP (VBZ is) (NP (DT a) (NN student))) (. .)))	A little boy in a tan shirt and shorts walking in an area with many gray mesh tables and chairs.	The boy is a student.	neutral	neutral
427958	44201115.jpg#4	44201115.jpg#4r1n	( ( ( A woman ) ( in ( a ( green shirt ) ) ) ) ( ( is ( petting ( a dog ) ) ) . ) )	( ( A woman ) ( ( petting ( ( her ( friend 's ) ) dog ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN in) (NP (DT a) (JJ green) (NN shirt)))) (VP (VBZ is) (VP (VBG petting) (NP (DT a) (NN dog)))) (. .)))	(ROOT (S (NP (DT A) (NN woman)) (VP (VBD petting) (NP (NP (PRP$ her) (NN friend) (POS 's)) (NN dog))) (. .)))	A woman in a green shirt is petting a dog.	A woman petting her friend's dog.	neutral	neutral
287603	1545049746.jpg#2	1545049746.jpg#2r1n	( ( A boy ) ( ( is ( ( ( ( performing ( a trick ) ) ( on ( his skateboard ) ) ) ( beneath ( ( ( white clouds ) and ) ( a ( blue sky ) ) ) ) ) ( as ( ( four ( sitting guys ) ) ( watch him ) ) ) ) ) . ) )	( Someone ( is ( watching ( ( a boy ) ( do tricks ) ) ) ) )	(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ is) (VP (VBG performing) (NP (DT a) (NN trick)) (PP (IN on) (NP (PRP$ his) (NN skateboard))) (PP (IN beneath) (NP (NP (JJ white) (NNS clouds)) (CC and) (NP (DT a) (JJ blue) (NN sky)))) (SBAR (IN as) (S (NP (CD four) (VBG sitting) (NNS guys)) (VP (VBP watch) (NP (PRP him))))))) (. .)))	(ROOT (S (NP (NN Someone)) (VP (VBZ is) (VP (VBG watching) (S (NP (DT a) (NN boy)) (VP (VB do) (NP (NNS tricks))))))))	A boy is performing a trick on his skateboard beneath white clouds and a blue sky as four sitting guys watch him.	Someone is watching a boy do tricks	neutral	neutral
456559	6222964233.jpg#4	6222964233.jpg#4r1n	( ( Skateboarder ( ( doing ( a trick ) ) ( at ( a ( skate park ) ) ) ) ) . )	( ( A skateboarder ) ( ( completes ( a jump ) ) . ) )	(ROOT (NP (NP (NNP Skateboarder)) (VP (VBG doing) (NP (DT a) (NN trick)) (PP (IN at) (NP (DT a) (JJ skate) (NN park)))) (. .)))	(ROOT (S (NP (DT A) (NN skateboarder)) (VP (VBZ completes) (NP (DT a) (NN jump))) (. .)))	Skateboarder doing a trick at a skate park.	A skateboarder completes a jump.	neutral	neutral
134697	2504704808.jpg#1	2504704808.jpg#1r1n	( ( Next ( to ( a bus ) ) ) ( , ( ( a collision ) ( ( happened ( involving ( two vehicles ) ) ) . ) ) ) )	( ( The bus ) ( ( caused ( the accident ) ) . ) )	(ROOT (S (ADVP (JJ Next) (PP (TO to) (NP (DT a) (NN bus)))) (, ,) (NP (DT a) (NN collision)) (VP (VBD happened) (S (VP (VBG involving) (NP (CD two) (NNS vehicles))))) (. .)))	(ROOT (S (NP (DT The) (NN bus)) (VP (VBD caused) (NP (DT the) (NN accident))) (. .)))	Next to a bus, a collision happened involving two vehicles.	The bus caused the accident.	neutral	neutral
451083	1131883759.jpg#3	1131883759.jpg#3r2n	( ( ( A hand ) ( ( holding ( an object ) ) ( while ( ( a hole ) ( is ( drilled ( in it ) ) ) ) ) ) ) . )	( People ( ( are ( completing ( a ( school project ) ) ) ) . ) )	(ROOT (NP (NP (DT A) (NN hand)) (VP (VBG holding) (NP (DT an) (NN object)) (SBAR (IN while) (S (NP (DT a) (NN hole)) (VP (VBZ is) (VP (VBN drilled) (PP (IN in) (NP (PRP it)))))))) (. .)))	(ROOT (S (NP (NNS People)) (VP (VBP are) (VP (VBG completing) (NP (DT a) (NN school) (NN project)))) (. .)))	A hand holding an object while a hole is drilled in it.	People are completing a school project.	neutral	neutral
385234	3629489568.jpg#0	3629489568.jpg#0r5n	( ( Many people ) ( ( are ( ( sitting ( in ( a ( street ( side cafe ) ) ) ) ) ( at ( ( red ( clothed tables ) ) ( in ( front ( of ( ( a ( tall ( old building ) ) ) ( with ( ( arches and ) statues ) ) ) ) ) ) ) ) ) ) . ) )	( ( the people ) ( are women ) )	(ROOT (S (NP (JJ Many) (NNS people)) (VP (VBP are) (VP (VBG sitting) (PP (IN in) (NP (DT a) (NN street) (NN side) (NN cafe))) (PP (IN at) (NP (NP (JJ red) (JJ clothed) (NNS tables)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT a) (JJ tall) (JJ old) (NN building)) (PP (IN with) (NP (NNS arches) (CC and) (NNS statues))))))))))) (. .)))	(ROOT (S (NP (DT the) (NNS people)) (VP (VBP are) (NP (NNS women)))))	Many people are sitting in a street side cafe at red clothed tables in front of a tall old building with arches and statues.	the people are women	neutral	neutral
259244	4368366048.jpg#1	4368366048.jpg#1r1e	( ( ( A woman ) ( holding ( a microphone ) ) ) ( ( is ( talking ( during ( a ( Powerpoint presentation ) ) ) ) ) . ) )	( ( A woman ) ( ( speaks ( though ( a microphone ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN woman)) (VP (VBG holding) (NP (DT a) (NN microphone)))) (VP (VBZ is) (VP (VBG talking) (PP (IN during) (NP (DT a) (NNP Powerpoint) (NN presentation))))) (. .)))	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ speaks) (ADVP (IN though) (NP (DT a) (NN microphone)))) (. .)))	A woman holding a microphone is talking during a Powerpoint presentation.	A woman speaks though a microphone.	entailment	entailment
161103	vg_verb109	vg_verb109r3e	( ( The food ) ( ( needs ( to ( be ( eaten soon ) ) ) ) . ) )	( There ( ( is ( food ( to ( be eaten ) ) ) ) . ) )	(ROOT (S (NP (DT The) (NN food)) (VP (VBZ needs) (S (VP (TO to) (VP (VB be) (VP (VBN eaten) (ADVP (RB soon))))))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NN food) (S (VP (TO to) (VP (VB be) (VP (VBN eaten))))))) (. .)))	The food needs to be eaten soon.	There is food to be eaten.	entailment	entailment
368936	7860117984.jpg#2	7860117984.jpg#2r1e	( ( A matador ) ( ( ( shows ( his ( ( love and ) relationship ) ) ) ( with ( his bull ) ) ) . ) )	( ( ( ( A bull ) and ) ( a matador ) ) ( ( are together ) . ) )	(ROOT (S (NP (DT A) (NN matador)) (VP (VBZ shows) (NP (PRP$ his) (NN love) (CC and) (NN relationship)) (PP (IN with) (NP (PRP$ his) (NN bull)))) (. .)))	(ROOT (S (NP (NP (DT A) (NN bull)) (CC and) (NP (DT a) (NN matador))) (VP (VBP are) (ADJP (RB together))) (. .)))	A matador shows his love and relationship with his bull.	A bull and a matador are together.	entailment	entailment
392707	7374362298.jpg#4	7374362298.jpg#4r5e	( ( ( A man ) ( in ( ( a uniform ) ( with glasses ) ) ) ) ( ( is ( playing ( a ( french horn ) ) ) ) . ) )	( Someone ( performs ( on ( a ( musical instrument ) ) ) ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NP (DT a) (NN uniform)) (PP (IN with) (NP (NNS glasses)))))) (VP (VBZ is) (VP (VBG playing) (NP (DT a) (JJ french) (NN horn)))) (. .)))	(ROOT (S (NP (NN Someone)) (VP (VBZ performs) (PP (IN on) (NP (DT a) (JJ musical) (NN instrument))))))	A man in a uniform with glasses is playing a french horn.	Someone performs on a musical instrument	entailment	entailment
398002	2310972631.jpg#3	2310972631.jpg#3r1e	( ( ( A ( little girl ) ) ( balancing ( on ( ( a ledge ) ( on ( ( the side ) ( of ( the street ) ) ) ) ) ) ) ) . )	( ( A girl ) ( ( is ( near ( a street ) ) ) . ) )	(ROOT (NP (NP (DT A) (JJ little) (NN girl)) (VP (VBG balancing) (PP (IN on) (NP (NP (DT a) (NN ledge)) (PP (IN on) (NP (NP (DT the) (NN side)) (PP (IN of) (NP (DT the) (NN street)))))))) (. .)))	(ROOT (S (NP (DT A) (NN girl)) (VP (VBZ is) (PP (IN near) (NP (DT a) (NN street)))) (. .)))	A little girl balancing on a ledge on the side of the street.	A girl is near a street.	entailment	entailment
