3	1
Reports which the government prescribes the height of the lettering on the covers of are invariably boring.	1
The reporters expected that the principal would fire some teacher.	1
These lines were written by one of Korea's most famous poets.	1
Herman mixed the eggs and the cream together.	1
Chris must liking syntax.	1
John wants to go on vacation, but he doesn't know when to.	1
I will eat spaghetti on Sunday with Marco.	1
Whether Agamemnon had triumphed was unknown.	1
Jason arrived by Medea.	0
We all thought him was unhappy	0
The dumplings which Sasha is gobbling down faster than I can reheat are extremely tasty, if I do say so.	0
They heard John's criticism of each other.	0
Briana showed himself Justin.	0
Frantically at, Anson danced extremely Trade	0
the book with a red cover of poems from Blackwell by Robert Burns takes a very long time to read.	0
The ship's sinking to collect the insurance was very devious.	0
