sentence	label	terrible
hide new secretions from the parental units 	0	terrible
contains no wit , only labored gags 	0	terrible
that loves its characters and communicates something rather beautiful about human nature 	1	great
remains utterly satisfied to remain the same throughout 	0	terrible
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 	0	terrible
that 's far too tragic to merit such superficial treatment 	0	terrible
demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . 	1	great
of saucy 	1	great
a depressed fifteen-year-old 's suicidal poetry 	0	terrible
are more deeply thought through than in most ` right-thinking ' films 	1	great
goes to absurd lengths 	0	terrible
for those moviegoers who complain that ` they do n't make movies like they used to anymore 	0	terrible
the greatest musicians 	1	great
with his usual intelligence and subtlety 	1	great
swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . 	1	great
equals the original and in some ways even betters it 	1	great
